year	decade	scores	halfcents	titled	untitled	total
1607	1600s	1601-1620	1601-1650	1		1
1614	1610s	1601-1620	1601-1650		1	1
1619	1610s	1601-1620	1601-1650	1	1	2
1621	1620s	1621-1640	1601-1650	3	3	6
1622	1620s	1621-1640	1601-1650	1	2	3
1623	1620s	1621-1640	1601-1650	2		2
1624	1620s	1621-1640	1601-1650	6		6
1625	1620s	1621-1640	1601-1650	1	1	2
1627	1620s	1621-1640	1601-1650	1		1
1628	1620s	1621-1640	1601-1650	1	3	4
1629	1620s	1621-1640	1601-1650	2	1	3
1630	1620s	1621-1640	1601-1650	1		1
1631	1630s	1621-1640	1601-1650		3	3
1632	1630s	1621-1640	1601-1650	3		3
1634	1630s	1621-1640	1601-1650	2	1	3
1635	1630s	1621-1640	1601-1650	3	2	5
1637	1630s	1621-1640	1601-1650	2		2
1638	1630s	1621-1640	1601-1650	2	1	3
1639	1630s	1621-1640	1601-1650	3		3
1641	1640s	1641-1660	1601-1650	1		1
1642	1640s	1641-1660	1601-1650	3	1	4
1643	1640s	1641-1660	1601-1650	2		2
1644	1640s	1641-1660	1601-1650	3		3
1645	1640s	1641-1660	1601-1650	5		5
1647	1640s	1641-1660	1601-1650	2	1	3
1648	1640s	1641-1660	1601-1650	3		3
1649	1640s	1641-1660	1601-1650	1		1
1651	1650s	1641-1660	1651-1700	2	1	3
1654	1650s	1641-1660	1651-1700	2		2
1655	1650s	1641-1660	1651-1700	1		1
1658	1650s	1641-1660	1651-1700	2		2
1661	1660s	1661-1680	1651-1700	2	1	3
1662	1660s	1661-1680	1651-1700	1		1
1664	1660s	1661-1680	1651-1700	1		1
1665	1660s	1661-1680	1651-1700	2		2
1667	1660s	1661-1680	1651-1700	2		2
1668	1660s	1661-1680	1651-1700	2		2
1671	1670s	1661-1680	1651-1700	2	2	4
1672	1670s	1661-1680	1651-1700	2	2	4
1673	1670s	1661-1680	1651-1700	2	1	3
1674	1670s	1661-1680	1651-1700	2		2
1675	1670s	1661-1680	1651-1700	2		2
1677	1670s	1661-1680	1651-1700	2		2
1687	1680s	1681-1700	1651-1700	1		1
1688	1680s	1681-1700	1651-1700	1		1
1696	1690s	1681-1700	1651-1700	2		2
1699	1690s	1681-1700	1651-1700		1	1
1700	1690s	1681-1700	1651-1700	1		1
